Restaurant,star_rating,no_reviews,cuisine,url
Nannarella,4.5,"15,565","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d14173461-Reviews-Nannarella-Rome_Lazio.html
L'Estro del Pesce,5.0,288,"Seafood, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d17332788-Reviews-L_Estro_del_Pesce-Rome_Lazio.html
Pescado Seafood Restaurant Guida Gambero Rosso 2024,5.0,243,"Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d21374971-Reviews-Pescado_Seafood_Restaurant_Guida_Gambero_Rosso_2024-Rome_Lazio.html
La Tana,4.5,716,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d4215688-Reviews-La_Tana-Rome_Lazio.html
Pinsere,4.5,"4,273","Pizza, Street Food",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d3570028-Reviews-Pinsere-Rome_Lazio.html
Armando e il Conte,5.0,280,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d15114276-Reviews-Armando_e_il_Conte-Rome_Lazio.html
Pizza della Madonna dei Monti,5.0,272,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d20309207-Reviews-Pizza_della_Madonna_dei_Monti-Rome_Lazio.html
Enoteca Trastevere,4.5,"3,778","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d1483757-Reviews-Enoteca_Trastevere-Rome_Lazio.html
Quanto Basta Slow Restaurant,5.0,519,"French, International",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d11719251-Reviews-Quanto_Basta_Slow_Restaurant-Rome_Lazio.html
Tonnarello,4.5,"37,542","Italian, Romana",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d13443832-Reviews-Tonnarello-Rome_Lazio.html
